 PX    Xn;,             PY   ;,        PZ        ;, бви ;,
 11111010;,  0000000011101111;,  0000000000000000;, 0001;,
 01111101;,  0000000111011110;,  0000000000000000;, 0010;,
         ;,                  ;,  0000000111011110;,     ;,
         ;,                  ;,  0000000111011110;,     ;,
 00111110;,  0000001110111100;,  0000000111011110;, 0011;,
 00011111;,  0000011101111000;,  0000000111011110;, 0100;,
         ;,                  ;,  0000011101111000;,     ;,
         ;,                  ;,  0000100101010110;,     ;,
 00001111;,  0000111011110000;,  0000100101010110;, 0101;,
         ;,                  ;,  0000111011110000;,     ;,
         ;,                  ;,  0001100001000110;,     ;,
 00000111;,  0001110111100000;,  0001100001000110;, 0110;,
         ;,                  ;,  0001110111100000;,     ;,
         ;,                  ;,  0011011000100110;,     ;,
 00000011;,  0011101111000000;,  0011011000100110;, 0111;,
         ;,                  ;,  0011101111000000;,     ;,
         ;,                  ;,  0111000111100110;,     ;,
 00000001;,  0111011110000000;,  0111000111100110;, 1000;,
         ;,                  ;,  0111011110000000;,     ;,
         ;,                  ;,  1110100101100110;,     ;,
