 PX    Xn;,    PY   ;,00;,        PZ        ;, СТШ ;, pf;,             Пояснения
 11101111;, 10010000;,00;,  0000000000000000;, 0000;,  0;,    Исходное состояние
         ;,         ;,11;,  0111000000000000;,     ;,   ;,                    -Y
         ;,         ;,11;,  0111000000000000;,     ;,   ;,Результат суммирования
 01110111;,         ;,11;,  1011100000000000;, 0001;,  1;,                 Cдвиг
 00111011;,         ;,11;,  1101110000000000;, 0010;,  1;,                 Cдвиг
 00011101;,         ;,11;,  1110111000000000;, 0011;,  1;,                 Cдвиг
 00001110;,         ;,11;,  1111011100000000;, 0100;,  1;,                 Cдвиг
         ;,         ;,11;,  0111000000000000;,     ;,   ;,                    -Y
         ;,         ;,11;,  0110011100000000;,     ;,   ;,Результат суммирования
 00000111;,         ;,11;,  1011001110000000;, 0101;,  1;,                 Cдвиг
 00000011;,         ;,11;,  1101100111000000;, 0110;,  1;,                 Cдвиг
 00000001;,         ;,11;,  1110110011100000;, 0111;,  1;,                 Cдвиг
 00000000;,         ;,11;,  1111011001110000;, 1000;,  1;,                 Cдвиг
         ;,         ;,00;,  1001000000000000;,     ;,   ;,                    +Y
         ;,         ;,00;,  1000011001110000;,     ;,   ;,Результат суммирования
