 PX    Xn;,             PY   ;,        PZ        ;, бви ;,
 11101111;,  0111110100000000;,  0000000000000000;, 0001;,
         ;,                  ;,  0111110100000000;,     ;,
         ;,                  ;,  0111110100000000;,     ;,
 11011110;,  0011111010000000;,  0111110100000000;, 0010;,
         ;,                  ;,  0011111010000000;,     ;,
         ;,                  ;,  1011101110000000;,     ;,
 10111100;,  0001111101000000;,  1011101110000000;, 0011;,
         ;,                  ;,  0001111101000000;,     ;,
         ;,                  ;,  1101101011000000;,     ;,
 01111000;,  0000111110100000;,  1101101011000000;, 0100;,
 11110000;,  0000011111010000;,  1101101011000000;, 0101;,
         ;,                  ;,  0000011111010000;,     ;,
         ;,                  ;,  1110001010010000;,     ;,
 11100000;,  0000001111101000;,  1110001010010000;, 0110;,
         ;,                  ;,  0000001111101000;,     ;,
         ;,                  ;,  1110011001111000;,     ;,
 11000000;,  0000000111110100;,  1110011001111000;, 0111;,
         ;,                  ;,  0000000111110100;,     ;,
         ;,                  ;,  1110100001101100;,     ;,
 10000000;,  0000000011111010;,  1110100001101100;, 1000;,
         ;,                  ;,  0000000011111010;,     ;,
         ;,                  ;,  1110100101100110;,     ;,
